parlhand.person.phid,parlhand.chamber.title,parlhand.electorate.label,_state,start_reason,start_date,end_date,_end_event,end_reason
"JX7",Member,Eden-Monaro,NSW,1901-HOR1,1901-03-29,1926-01-12,1926-BY1-EDEN-MONARO,Died
"FF4",Senator,South Australia,SA,1987-SEN,1987-07-11,2008-06-30,2007-SEN,Defeated
"K6I",Senator,South Australia,SA,1925-SEN,1926-07-01,1931-03-14,1931-CASUAL1-SA,Died
"OT4",Member,La Trobe,VIC,1990-HOR,1990-03-24,2004-08-31,2004-HOR,Retired
"GF4",Member,Isaacs,VIC,1980-HOR,1980-10-18,1990-02-19,1990-HOR,Retired
"K6J",Senator,South Australia,SA,1901-SEN2,1901-03-30,1903-12-31,1903-SEN,Defeated
"TD4",Member,Perth,WA,1983-HOR,1983-03-05,1993-02-08,1993-HOR,Retired
"JXA",Member,Hunter,NSW,1910-HOR,1910-04-13,1928-10-09,1928-HOR,Retired
"K6L",Senator,Queensland,QLD,1906-SEN,1907-01-01,1913-06-30,1913-SEN,Defeated
"HW7",Member,Corangamite,VIC,2007-HOR,2007-11-24,2013-09-07,2013-HOR,Defeated
"00A9C",Senator,Queensland,QLD,2001-CASUAL1-QLD,2001-07-31,2005-06-30,2004-SEN,Defeated
"IPZ",Member,Gippsland,VIC,2008-BY1-GIPPSLAND,2008-06-28,,,
"249710",Member,Bendigo,VIC,2013-HOR,2013-09-07,,,
"A48",Member,Macquarie,NSW,1940-HOR,1940-09-21,1951-06-13,1951-BY2-MACQUARIE,Died
"HF4",Member,Henty,VIC,1980-HOR,1980-10-18,1990-02-19,1990-HOR,Abolished at Redistribution (Retired)
"IF4",Senator,New South Wales,NSW,1980-SEN,1981-07-01,1997-09-10,1997-CASUAL4-NSW,Resigned
"3V4",Senator,Victoria,VIC,1977-SEN,1978-07-01,1986-08-18,1986-CASUAL3-VIC,Resigned
"JUN",Member,Griffith,QLD,1958-HOR,1958-11-22,1961-12-09,1961-HOR,Defeated
"230485",Member,Dawson,QLD,2010-HOR,2010-08-21,,,
"JF4",Member,Dunkley,VIC,1993-HOR,1993-03-13,1996-03-02,1996-HOR,Defeated
"00AN0",Member,Moncrieff,QLD,2001-HOR,2001-11-10,,,
"HWL",Member,Blaxland,NSW,2007-HOR,2007-11-24,,,
"JUP",Member,Bendigo,VIC,1949-HOR,1949-12-10,1960-05-17,1960-BY4-BENDIGO,Died
"JUQ",Member,Darling,NSW,1934-HOR,1934-09-15,1969-09-29,1969-HOR,Retired
"JUU",Member,Cowper,NSW,1901-HOR1,1901-03-29,1903-12-16,1903-HOR,Defeated
"JUY",Member,East Sydney,NSW,1931-HOR,1931-12-19,1932-01-15,1932-BY1-EASTSYDNEY,Died before taking seat
"JYJ",Member,St George,NSW,1958-HOR,1958-11-22,1963-11-30,1963-HOR,Defeated
"248181",Member,Newcastle,NSW,2013-HOR,2013-09-07,,,
"JYK",Member,Isaacs,VIC,1974-HOR,1974-05-18,1975-12-13,1975-HOR,Defeated
"BO5",Member,Wills,VIC,1993-HOR,1993-03-13,1996-03-02,1996-HOR,Defeated
"JYO",Member,Swan,WA,1955-HOR,1955-12-10,1969-10-25,1969-HOR,Defeated
"KF4",Member,McEwen,VIC,1993-HOR,1993-03-13,1996-03-02,1996-HOR,Defeated
"K6M",Senator,Tasmania,TAS,1901-SEN1,1901-03-29,1914-09-05,1914-SEN,Defeated
"K6N",Senator,Western Australia,WA,1937-SEN,1938-07-01,1950-06-30,1949-SEN,Defeated
"LF4",Senator,Tasmania,TAS,1980-SEN,1981-07-01,1996-08-20,1996-CASUAL4-TAS,Resigned
"00AN1",Member,Calare,NSW,2007-HOR,2007-11-24,,,
"MF4",Member,Parkes,NSW,1984-HOR,1984-12-01,1998-08-31,1998-HOR,Retired
"JZG",Member,Warringah,NSW,1961-HOR,1961-12-09,1966-08-03,1966-HOR-NOBY,Died
"NF4",Member,Robertson,NSW,1969-HOR,1969-10-25,1990-02-19,1990-HOR,Retired
"K6R",Senator,Victoria,VIC,1961-SEN,1962-07-01,1969-10-07,1969-CASUAL2-VIC,Died
"00AOL",Senator,Tasmania,TAS,2002-CASUAL1-TAS,2002-02-04,,,
"K6W",Senator,Tasmania,TAS,1949-SEN,1949-12-10,1965-06-30,1964-SEN,Defeated
"K7F",Senator,Western Australia,WA,1928-SEN,1929-07-01,1933-03-20,1933-CASUAL1-WA,Resigned
"241067",Member,Banks,NSW,2013-HOR,2013-09-07,,,
"JZK",Member,Reid,NSW,1922-HOR,1922-12-16,1931-12-19,1931-HOR,Defeated
"5V4",Senator,Western Australia,WA,1974-SEN,1974-05-18,1987-06-05,1987-SEN,Retired
"4V4",Member,Wentworth,NSW,1981-BY4-WENTWORTH,1981-04-11,1987-06-05,1987-HOR,Retired
"JZO",Member,Henty,VIC,1940-HOR,1940-09-21,1946-02-11,1946-BY2-HENTY,Resigned
"JZX",Member,Kalgoorlie,WA,1961-HOR,1961-12-09,1975-12-13,1975-HOR,Defeated
"K7H",Senator,Queensland,QLD,1975-SEN,1975-12-13,1987-06-05,1987-SEN,Retired
"K7M",Senator,Western Australia,WA,1933-CASUAL1-WA,1933-04-06,1947-06-30,1946-SEN,Defeated
"K7P",Senator,Queensland,QLD,1931-SEN,1932-07-01,1950-06-30,1949-SEN,Retired
"OF4",Senator,Northern Territory,NT,1987-SEN,1987-07-11,1998-03-30,1998-CASUAL1-NT,Resigned
"GB6",Senator,Victoria,VIC,2008-CASUAL1-VIC,2008-05-08,,,
"HWM",Member,Franklin,TAS,2007-HOR,2007-11-24,,,
"K07",Member,Wakefield,SA,1928-HOR,1928-11-17,1929-10-12,1929-HOR,Defeated
"K0D",Member,Hume,NSW,1931-HOR,1931-12-19,1943-08-21,1943-HOR,Defeated
"PF4",Senator,Queensland,QLD,1975-SEN,1975-12-13,1999-06-30,1998-SEN,Retired
"K0I",Member,Bowman,QLD,1961-HOR,1961-12-09,1963-11-30,1963-HOR,Defeated
"YW6",Member,Charlton,NSW,2007-HOR,2007-11-24,2013-08-05,2013-HOR,Retired
"K0K",Member,Griffith,QLD,1939-BY1-GRIFFITH,1939-05-20,1949-12-10,1949-HOR,Defeated
"QF4",Member,Bradfield,NSW,1974-HOR,1974-05-18,1996-01-29,1996-HOR,Retired
"K0O",Member,Cunningham,NSW,1963-HOR,1963-11-30,1977-08-22,1977-BY1-CUNNINGHAM,Died
"K17",Member,Hinkler,QLD,1984-HOR,1984-12-01,1987-07-11,1987-HOR,Defeated
"K4E",Member,Werriwa,NSW,1913-HOR,1913-05-31,1914-09-05,1914-HOR,Defeated
"249127",Member,Charlton,NSW,2013-HOR,2013-09-07,,,
"3L6",Senator,Victoria,VIC,1996-CASUAL1-VIC,1996-04-30,,,
"K4F",Member,Barrier,NSW,1917-HOR,1917-05-05,1922-12-16,1922-HOR,Abolished at Redistribution (to Darling - defeated)
"K4I",Member,Bourke,VIC,1901-HOR1,1901-03-29,1910-04-13,1910-HOR,Defeated
"F4S",Member,Parramatta,NSW,1901-HOR1,1901-03-29,1921-11-11,1921-BY3-PARRAMATTA,Resigned
"RF4",Senator,Western Australia,WA,1983-SEN,1983-03-05,2005-06-30,2004-SEN,Retired
"K4M",Member,Indi,VIC,1919-HOR,1919-12-13,1928-10-09,1928-HOR,Retired
"JQN",Senator,Western Australia,WA,1952-CASUAL1-WA,1952-02-07,1965-06-30,1964-SEN,Defeated
"K4O",Member,Petrie,QLD,1972-HOR,1972-12-02,1974-04-11,1974-HOR,Retired
"K4P",Member,Wannon,VIC,1901-HOR1,1901-03-29,1903-11-23,1903-HOR,Retired
"K5J",Member,Batman,VIC,1906-HOR,1906-12-12,1910-04-13,1910-HOR,Defeated
"2M6",Senator,New South Wales,NSW,1996-SEN,1996-07-01,2011-08-22,2011-CASUAL1-NSW,Resigned
"SF4",Senator,Victoria,VIC,1984-SEN,1984-12-01,2002-06-30,2001-SEN,Retired
"JQP",Senator,Queensland,QLD,1934-SEN,1935-07-01,1968-06-30,1967-SEN,Retired
"K5L",Member,Sydney,NSW,1969-HOR,1969-10-25,1975-11-11,1975-HOR,Retired
"K5O",Member,Maranoa,QLD,1966-HOR,1966-11-26,1980-09-19,1980-HOR,Retired
"K5P",Member,Swan,WA,1918-BY2-SWAN,1918-10-26,1919-12-13,1919-HOR,Defeated
"009CW",Member,Isaacs,VIC,2000-BY1-ISAACS,2000-08-12,2007-10-17,2007-HOR,Retired
"JQQ",Senator,Victoria,VIC,1961-SEN,1962-07-01,1978-06-30,1977-SEN,Retired
"HDA",Senator,Western Australia,WA,2007-CASUAL4-WA,2007-06-19,,,
"K6Q",Member,Wide Bay,QLD,1928-BY2-WIDEBAY,1928-09-03,1954-04-21,1954-HOR,Retired
"K6S",Member,Wide Bay,QLD,1915-BY4-WIDEBAY,1915-12-11,1928-07-31,1928-BY2-WIDEBAY,Died
"K6T",Member,Banks,NSW,1949-HOR,1949-12-10,1969-09-29,1969-HOR,Retired
"CT4",Member,Higgins,VIC,1990-HOR,1990-03-24,2009-10-19,2009-BY1-BRADFIELD,Resigned
"K6U",Member,Kalgoorlie,WA,1975-HOR,1975-12-13,1980-10-18,1980-HOR,Defeated
"JQR",Senator,New South Wales,NSW,1965-CASUAL1-NSW,1965-08-04,1978-07-13,1978-CASUAL1-NSW,Resigned
"TF4",Senator,South Australia,SA,1987-SEN,1987-07-11,1995-11-20,1995-CASUAL3-SA,Resigned
"HWN",Member,Parkes,NSW,2007-HOR,2007-11-24,,,
"JQW",Senator,New South Wales,NSW,1934-SEN,1935-07-01,1935-07-11,1935-CASUAL2-NSW,Died
"JQY",Senator,Queensland,QLD,1937-CASUAL1-QLD,1937-09-02,1962-06-30,1961-SEN,Retired
"UF4",Member,Hinkler,QLD,1987-HOR,1987-07-11,1993-03-13,1993-HOR,Defeated
"K6V",Member,Darebin,VIC,1958-HOR,1958-11-22,1969-09-29,1969-HOR,Abolished at Redistribution (Retired)
"K6X",Member,Griffith,QLD,1961-HOR,1961-12-09,1966-11-26,1966-HOR,Defeated
"VF4",Member,Lyne,NSW,1980-HOR,1980-10-18,1993-02-08,1993-HOR,Retired
"JRT",Senator,New South Wales,NSW,1919-SEN,1920-07-01,1938-06-30,1937-SEN,Retired
"83U",Member,Kingston,SA,1998-HOR,1998-10-03,2004-10-09,2004-HOR,Defeated
"K7J",Member,Bennelong,NSW,1949-HOR,1949-12-10,1974-04-11,1974-HOR,Retired
"UW4",Senator,Western Australia,WA,1990-SEN,1990-07-01,2002-06-30,2001-SEN,Defeated
"WF4",Member,Forde,QLD,1987-HOR,1987-07-11,1996-03-02,1996-HOR,Defeated
"JRW",Senator,Queensland,QLD,1917-SEN,1917-07-01,1947-06-30,1946-SEN,Retired
"JAG",Member,Melbourne Ports,VIC,1951-HOR,1951-04-28,1977-11-10,1977-HOR,Retired
"DT4",Member,Hotham,VIC,1990-HOR,1990-03-24,2013-08-05,2013-HOR,Retired
"K7O",Member,Hoddle,VIC,1949-HOR,1949-12-10,1955-12-10,1955-HOR,Abolished at Redistribution (to Scullin - Defeated)
"XF4",Senator,Western Australia,WA,1980-SEN,1981-07-01,1996-06-30,1996-SEN,Retired
"JSB",Senator,South Australia,SA,1946-SEN,1947-07-01,1959-06-30,1958-SEN,Retired
"JTH",Senator,Western Australia,WA,1903-SEN,1904-01-01,1910-06-30,1910-SEN,Retired
"M3K",Member,O'Connor,WA,2010-HOR,2010-08-21,2013-08-05,2013-HOR,Retired
"7T4",Member,Prospect,NSW,1990-HOR,1990-03-24,2004-08-31,2004-HOR,Retired
"YF4",Member,Brisbane,QLD,1980-HOR,1980-10-18,1990-02-19,1990-HOR,Retired
"7Y6",Senator,Northern Territory,NT,1998-CASUAL1-NT,1998-06-16,2013-09-06,2013-SEN,Retired
"K7U",Member,Corangamite,VIC,1929-HOR,1929-10-12,1931-12-19,1931-HOR,Defeated
"ZF4",Senator,South Australia,SA,1983-SEN,1983-03-05,2002-06-30,2001-SEN,Retired
"K7X",Member,Gwydir,NSW,1901-HOR1,1901-03-29,1903-11-23,1903-HOR,Retired
"K7Z",Member,Denison,TAS,1928-HOR,1928-11-17,1931-12-19,1931-HOR,Defeated
"K87",Member,Brisbane,QLD,1903-HOR,1903-12-16,1906-12-12,1906-HOR,Defeated
"0G4",Member,McMillan,VIC,1993-HOR,1993-03-13,1996-03-02,1996-HOR,Defeated
"JTK",Senator,Western Australia,WA,1937-SEN,1937-10-23,1943-07-04,1943-DIED-NOVAC,Died
"K88",Member,Gwydir,NSW,1929-HOR,1929-10-12,1931-12-19,1931-HOR,Defeated
"K8B",Member,Kingsford-Smith (now Kingsford Smith),NSW,1955-HOR,1955-12-10,1969-09-29,1969-HOR,Retired
"009FQ",Member,Fremantle,WA,1934-HOR,1934-09-15,1945-07-05,1945-BY1-FREMANTLE,Died
"K8G",Member,Eden-Monaro,NSW,1929-HOR,1929-10-12,1931-12-19,1931-HOR,Defeated
"6V4",Member,Grayndler,NSW,1949-HOR,1949-12-10,1975-11-11,1975-HOR,Retired
"JTL",Senator,South Australia,SA,1928-SEN,1928-11-17,1935-06-30,1934-SEN,Retired
"WF6",Member,Melbourne Ports,VIC,1998-HOR,1998-10-03,,,
"KC9",Member,Boothby,SA,1913-HOR,1913-05-31,1917-03-26,1917-HOR,Retired
"JTR",Senator,Tasmania,TAS,1937-SEN,1938-07-01,1944-06-30,1943-SEN,Defeated
"KP6",Member,Fraser,ACT,1997-BY1-FRASER,1997-02-01,1998-08-31,1998-HOR,Retired
"UD4",Member,Lilley,QLD,1980-HOR,1980-10-18,1993-02-08,1993-HOR,Retired
"225099",Senator,New South Wales,NSW,2013-CASUAL3-NSW,2013-08-21,,,
"HVN",Member,Petrie,QLD,2007-HOR,2007-11-24,2013-09-07,2013-HOR,Defeated
"KCA",Member,Dawson,QLD,1949-HOR,1949-12-10,1963-11-01,1963-HOR,Retired
"JTT",Senator,South Australia,SA,1964-SEN,1965-07-01,1981-06-30,1980-SEN,Retired
"KCC",Member,Cunningham,NSW,1949-HOR,1949-12-10,1956-02-17,1956-BY1-CUNNINGHAM,Died
"KCB",Member,Braddon,TAS,1958-HOR,1958-11-22,1975-12-13,1975-HOR,Defeated
"KCD",Member,Deakin,VIC,1949-HOR,1949-12-10,1966-10-31,1966-HOR,Retired
"9E4",Member,Fremantle,WA,1977-HOR,1977-12-10,1994-02-04,1994-BY2-FREMANTLE,Resigned
"JTV",Senator,Queensland,QLD,1901-SEN2,1901-03-30,1906-12-31,1906-SEN,Defeated
"HYG",Senator,South Australia,SA,2013-SEN,2014-07-01,,,
"JU7",Senator,Western Australia,WA,1901-SEN1,1901-03-29,1923-06-30,1922-SEN,Defeated
"LV5",Member,Macquarie,NSW,1993-HOR,1993-03-13,1996-03-02,1996-HOR,Defeated
"009MD",Member,Ballarat (was Ballaarat),VIC,1901-HOR1,1901-03-29,1913-04-23,1913-HOR,Retired
"KCE",Member,Herbert,QLD,1977-HOR,1977-12-10,1983-03-05,1983-HOR,Defeated
"LLW",Member,Robertson,NSW,1949-HOR,1949-12-10,1964-09-30,1964-BY4-ROBERTSON,Resigned
"8IS",Member,Macquarie,NSW,2007-HOR,2007-11-24,2010-07-19,2010-HOR,Retired
"KCF",Member,Corio,VIC,1940-BY1-CORIO,1940-03-02,1949-12-10,1949-HOR,Defeated
"JUD",Senator,New South Wales,NSW,1934-SEN,1935-07-01,1941-06-30,1940-SEN,Defeated
"FY5",Senator,Tasmania,TAS,1993-CASUAL2-TAS,1993-08-24,2005-06-30,2004-SEN,Retired
"KCH",Member,Batman,VIC,1931-HOR,1931-12-19,1934-09-15,1934-HOR,Defeated
"1G4",Senator,Tasmania,TAS,1987-SEN,1987-07-11,1996-02-07,1996-CASUAL2-TAS,Resigned
"KCI",Member,East Sydney,NSW,1963-BY2-EASTSYDNEY,1963-09-28,1969-09-29,1969-HOR,Abolished at Redistribution (Retired)
"JUH",Senator,Tasmania,TAS,1964-SEN,1965-07-01,1978-06-30,1977-SEN,Retired
"JUI",Senator,Tasmania,TAS,1984-SEN,1984-12-01,1990-06-30,1990-SEN,Retired
"JUL",Senator,Victoria,VIC,1946-SEN,1946-09-28,1957-05-26,1957-CASUAL1-VIC,Died
"53369",Senator,Victoria,VIC,2010-SEN,2011-07-01,,,
"JUM",Senator,Queensland,QLD,1958-SEN,1959-07-01,1971-06-30,1970-SEN,Retired
"3G4",Member,Cook ii,NSW,1975-HOR,1975-12-13,1996-01-29,1996-HOR,Retired
"JVC",Senator,Tasmania,TAS,1901-SEN1,1901-03-29,1910-06-30,1910-SEN,Defeated
"EV5",Member,Leichhardt,QLD,1993-HOR,1993-03-13,1996-03-02,1996-HOR,Defeated
"5M6",Member,Northern Territory (HoR),NT,1996-HOR,1996-03-02,1998-10-03,1998-HOR,Defeated
"JVF",Senator,New South Wales,NSW,1928-SEN,1928-11-17,1935-06-30,1934-SEN,Defeated
"4G4",Member,Mayo,SA,1984-HOR,1984-12-01,2008-07-14,2008-BY3-MAYO,Resigned
"KCK",Member,Angas ii,SA,1949-HOR,1949-12-10,1964-04-23,1964-BY2-ANGAS,Resigned
"JVG",Senator,South Australia,SA,1901-SEN2,1901-03-30,1903-12-31,1903-SEN,Retired
"KCL",Member,Lilley,QLD,1972-HOR,1972-12-02,1974-05-18,1974-HOR,Defeated
"JXO",Senator,Queensland,QLD,1901-SEN2,1901-03-30,1906-12-31,1906-SEN,Retired
"JXP",Senator,Western Australia,WA,1919-SEN,1920-07-01,1926-06-30,1925-SEN,Retired
"JXR",Senator,Western Australia,WA,1958-SEN,1959-07-01,1978-06-30,1977-SEN,Retired
"KCM",Member,Maribyrnong,VIC,1934-HOR,1934-09-15,1955-12-10,1955-HOR,Defeated
"0L6",Member,Makin,SA,1996-HOR,1996-03-02,2007-10-17,2007-HOR,Retired
"HWG",Member,Isaacs,VIC,2007-HOR,2007-11-24,,,
"KCS",Member,New England,NSW,1949-HOR,1949-12-10,1963-11-01,1963-HOR,Retired
"KCT",Member,Forrest,WA,1972-HOR,1972-12-02,1987-06-05,1987-HOR,Retired
"JXX",Senator,South Australia,SA,1958-SEN,1959-07-01,1975-12-13,1975-SEN,Defeated
"KCU",Member,Ryan,QLD,1949-HOR,1949-12-10,1975-11-11,1975-HOR,Retired
"5G4",Member,St George,NSW,1984-HOR,1984-12-01,1993-02-08,1993-HOR,Abolished at Redistribution (Retired)
"6G4",Member,Holt,VIC,1980-HOR,1980-10-18,1996-01-29,1996-HOR,Retired
"7G4",Member,Makin,SA,1984-HOR,1984-12-01,1996-03-02,1996-HOR,Defeated
"JXZ",Senator,New South Wales,NSW,1919-SEN,1920-07-01,1931-12-01,1931-CASUAL3-NSW,Resigned
"JY7",Member,Wakefield,SA,1940-HOR,1940-09-21,1943-08-21,1943-HOR,Defeated
"3K4",Senator,New South Wales,NSW,1987-SEN-CHALLENGE,1988-07-21,1990-06-30,1990-SEN,Defeated
"JYB",Senator,New South Wales,NSW,1928-SEN,1929-07-01,1935-06-30,1934-SEN,Defeated
"8G4",Senator,Western Australia,WA,1970-SEN,1971-07-01,1993-06-30,1993-SEN,Retired
"KDA",Member,Wilmot,TAS,1946-HOR,1946-09-28,1975-12-13,1975-HOR,Defeated
"00AKI",Member,Dickson,QLD,2001-HOR,2001-11-10,,,
"JYF",Senator,Tasmania,TAS,1917-CASUAL1-TAS,1917-03-01,1923-06-30,1922-SEN,Defeated
"RU5",Member,Lowe,NSW,1993-HOR,1993-03-13,1996-03-02,1996-HOR,Defeated
"KDB",Member,Herbert,QLD,1946-HOR,1946-09-28,1958-11-22,1958-HOR,Defeated
"KDD",Member,North Sydney,NSW,1910-HOR,1910-04-13,1911-02-04,1911-BY2-NORTHSYDNEY,Died
"83R",Member,Cowan,WA,1998-HOR,1998-10-03,2007-10-17,2007-HOR,Retired
"9G4",Member,Berowra,NSW,1972-HOR,1972-12-02,1993-02-08,1993-HOR,Retired
"KDF",Member,Oxley,QLD,1901-HOR2,1901-03-30,1913-04-23,1913-HOR,Retired
"AG4",Member,Stirling,WA,1983-HOR,1983-03-05,1993-03-13,1993-HOR,Defeated
"225307",Senator,South Australia,SA,2010-SEN,2011-07-01,,,
"KDH",Member,Lyne,NSW,1949-HOR,1949-12-10,1952-01-28,1952-BY1-LYNE,Died
"4L6",Senator,Western Australia,WA,1996-SEN,1996-07-01,2014-06-30,2013-SEN,Retired
"KDI",Member,Phillip,NSW,1961-HOR,1961-12-09,1963-11-30,1963-HOR,Defeated
"KDJ",Member,Martin,NSW,1929-HOR,1929-10-12,1931-12-19,1931-HOR,Defeated
"YF6",Member,Wentworth,NSW,1974-HOR,1974-05-18,1981-02-17,1981-BY4-WENTWORTH,Resigned
"DZW",Member,Richmond,NSW,2004-HOR,2004-10-09,,,
"JYG",Senator,Victoria,VIC,1919-SEN,1920-07-01,1931-03-23,1931-CASUAL2-VIC,Died
"JYH",Senator,Victoria,VIC,1928-SEN,1929-07-01,1935-06-30,1934-SEN,Defeated
"6T4",Member,Parramatta,NSW,1990-HOR,1990-03-24,1996-03-02,1996-HOR,Defeated
"5K6",Member,Canberra,ACT,1998-HOR,1998-10-03,2010-07-19,2010-HOR,Retired
"DZU",Member,Adelaide,SA,2004-HOR,2004-10-09,,,
"9X5",Senator,Western Australia,WA,1993-SEN,1993-07-01,2009-01-30,2009-CASUAL1-WA,Resigned
"6K6",Member,Forde,QLD,1996-HOR,1996-03-02,2007-10-17,2007-HOR,Retired
"JYI",Senator,South Australia,SA,1977-SEN,1978-07-01,1987-06-05,1987-SEN,Retired
"83V",Member,Rankin,QLD,1998-HOR,1998-10-03,2013-08-05,2013-HOR,Retired
"8H7",Member,Canberra,ACT,1974-HOR,1974-05-18,1975-12-13,1975-HOR,Defeated
"KDN",Member,Calare,NSW,1960-BY5-CALARE,1960-11-05,1975-11-11,1975-HOR,Retired
"7K6",Member,Leichhardt,QLD,2010-HOR,2010-08-21,,,
"KDO",Member,Ballaarat (now Ballarat),VIC,1955-HOR,1955-12-10,1975-11-11,1975-HOR,Retired
"AX5",Senator,Western Australia,WA,1993-SEN,1993-07-01,2013-04-12,2013-CASUAL1-WA,Resigned
"VD4",Member,Holt,VIC,1996-HOR,1996-03-02,1999-09-30,1999-BY1-HOLT,Resigned
"JYL",Senator,Western Australia,WA,1983-SEN,1983-03-05,1985-06-30,1984-SEN,Defeated
"N36",Member,Bonython,SA,1994-BY3-BONYTHON,1994-03-19,2004-10-09,2004-HOR,Abolished at Redistribution (to Wakefield - Defeated)
"3V5",Member,Cowan,WA,1993-HOR,1993-03-13,1998-10-03,1998-HOR,Defeated
"DTN",Member,Hunter,NSW,1958-HOR,1958-11-22,1960-02-10,1960-BY1-HUNTER,Resigned
"JYN",Senator,Tasmania,TAS,1974-SEN,1974-05-18,1975-12-13,1975-SEN,Defeated
"KDP",Member,Capricornia,QLD,1977-HOR,1977-12-10,1984-10-26,1984-HOR,Retired
"7R5",Member,Northern Territory (HoR),NT,1984-HOR,1984-12-01,1987-06-05,1987-HOR,Retired
"KDQ",Member,Flinders,VIC,1952-BY2-FLINDERS,1952-10-18,1954-05-29,1954-HOR,Defeated
"JYQ",Senator,Western Australia,WA,1901-SEN1,1901-03-29,1903-04-17,1903-CASUAL2-WA,Resigned
"KDR",Member,Richmond,NSW,1901-HOR1,1901-03-29,1910-02-19,1910-HOR,Retired
"F4T",Member,McPherson,QLD,1949-HOR,1949-12-10,1958-10-14,1958-HOR,Retired
"HQ5",Member,Macarthur,NSW,1996-HOR,1996-03-02,2001-10-08,2001-HOR,Retired
"KDS",Member,Lawson,NSW,1949-HOR,1949-12-10,1969-09-29,1969-HOR,Abolished at Redistribution (Retired)
"KDT",Member,Farrer,NSW,1949-HOR,1949-12-10,1975-11-11,1975-HOR,Retired
"JYR",Senator,Victoria,VIC,1917-SEN,1917-07-01,1923-06-30,1922-SEN,Retired
"KEM",Member,Flinders,VIC,1933-BY1-FLINDERS,1933-11-11,1940-08-13,1940-HOR-NOBY,Died
"KEN",Member,Paterson,NSW,1949-HOR,1949-12-10,1969-09-29,1969-HOR,Retired
"KEO",Member,Casey,VIC,1975-HOR,1975-12-13,1983-03-05,1983-HOR,Defeated
"KEP",Member,Franklin,TAS,1946-HOR,1946-09-28,1966-10-31,1966-HOR,Retired
"KES",Member,Hume,NSW,1917-HOR,1917-05-05,1919-11-03,1919-HOR,Retired
"KEU",Member,Watson i,NSW,1940-HOR,1940-09-21,1949-12-10,1949-HOR,Defeated
"00AMO",Member,Macarthur,NSW,2001-HOR,2001-11-10,2010-07-19,2010-HOR,Retired
"I0N",Senator,South Australia,SA,2007-SEN,2008-07-01,2014-06-30,2013-SEN,Defeated
"WD4",Member,Brand,WA,1984-HOR,1984-12-01,1996-01-29,1996-HOR,Retired
"5K4",Senator,New South Wales,NSW,1989-CASUAL1-NSW,1989-04-04,2015-02-06,2015-CASUAL1-NSW,Retired
"DYU",Senator,South Australia,SA,2010-SEN,2011-07-01,,,
"I0O",Member,Batman,VIC,2013-HOR,2013-09-07,,,
"KEV",Member,Maribyrnong,VIC,1910-HOR,1910-04-13,1934-09-15,1934-HOR,Defeated
"EP5",Senator,South Australia,SA,1992-CASUAL2-SA,1992-05-26,2011-06-30,2010-SEN,Retired
"JYS",Senator,Queensland,QLD,1901-SEN2,1901-03-30,1903-10-06,1903-VACANT-NOVAC,Declared Vacant
"8T4",Member,Werriwa,NSW,2010-HOR,2010-08-21,,,
"LS4",Member,Batman,VIC,1996-HOR,1996-03-02,2013-08-05,2013-HOR,Retired
"DYH",Member,Bass,TAS,2004-HOR,2004-10-09,2007-11-24,2007-HOR,Defeated
"JYT",Senator,Queensland,QLD,1913-SEN,1913-07-01,1920-06-30,1919-SEN,Defeated
"5L6",Senator,South Australia,SA,1996-CASUAL3-SA,1996-07-24,2007-04-02,2007-CASUAL1-SA,Died
"JYW",Senator,Queensland,QLD,1975-CASUAL2-QLD,1975-09-03,1975-12-13,1975-SEN,Expired Defeated
"E4R",Senator,Victoria,VIC,2004-SEN,2005-07-01,2011-06-30,2010-SEN,Defeated
"E4T",Senator,New South Wales,NSW,2005-CASUAL1-NSW,2005-05-05,,,
"CG4",Member,Hume,NSW,1984-HOR,1984-12-01,1993-02-08,1993-HOR,Retired
"D2I",Senator,Victoria,VIC,2004-CASUAL1-VIC,2004-03-31,,,
"QT4",Member,Moore,WA,1990-HOR,1990-03-24,1998-10-03,1998-HOR,Defeated
"JYX",Senator,Victoria,VIC,1922-SEN,1923-07-01,1929-06-30,1928-SEN,Defeated
"JZ8",Senator,South Australia,SA,1943-SEN,1944-07-01,1953-06-30,1953-SEN,Retired
"KEX",Member,Brisbane,QLD,1910-HOR,1910-04-13,1919-12-13,1919-HOR,Defeated
"DG4",Member,Farrer,NSW,1984-HOR,1984-12-01,2001-10-08,2001-HOR,Retired
"F4N",Member,Wide Bay,QLD,1901-HOR2,1901-03-30,1915-10-26,1915-BY4-WIDEBAY,Resigned
"HBE",Senator,South Australia,SA,2007-CASUAL3-SA,2007-06-06,2012-08-14,2012-CASUAL5-SA,Resigned
"EG4",Member,Mallee,VIC,1972-HOR,1972-12-02,1993-02-08,1993-HOR,Retired
"KEZ",Member,Ballaarat (now Ballarat),VIC,1934-HOR,1934-09-15,1937-09-21,1937-HOR,Retired
"JZB",Senator,New South Wales,NSW,1961-SEN,1962-07-01,1974-04-11,1974-SEN,Retired
"FG4",Member,Hunter,NSW,1984-HOR,1984-12-01,1996-01-29,1996-HOR,Retired
"8K6",Member,Hunter,NSW,1996-HOR,1996-03-02,,,
"KFB",Member,Riverina i,NSW,1977-HOR,1977-12-10,1980-09-19,1980-HOR,Retired
"KFC",Member,Robertson,NSW,1913-HOR,1913-05-31,1922-12-16,1922-HOR,Defeated
